"suburb","postcode","state","lat","lng"
"Babyl Creek","2470","NSW","-28.72003","152.78699"
"Back Creek","2671","NSW","-33.84678","147.45639"
"Back Creek","2390","NSW","-30.10689","150.27122"
"Back Creek","2422","NSW","-31.9623","152.04938"
"Back Creek","2622","NSW","-35.34612","149.94415"
"Back Creek","2372","NSW","-28.95703","151.70533"
"Back Creek","2484","NSW","-28.41034","153.17285"
"Back Forest","2535","NSW","-34.8437","150.67602"
"Backmede","2470","NSW","-28.76143","153.02409"
"Backwater","2365","NSW","-30.05245","151.92236"
"Badgerys Creek","2555","NSW","-33.88166","150.74414"
"Badja","2630","NSW","-36.04834","149.51138"
"Baerami","2333","NSW","-32.40492","150.45745"
"Baerami Creek","2333","NSW","-32.57324","150.49221"
"Bagnoo","2446","NSW","-31.47316","152.53301"
"Bago","2446","NSW","-31.51873","152.66161"
"Bagotville","2477","NSW","-28.9771","153.40871"
"Bakers Creek","2422","NSW","-31.97963","152.09961"
"Bakers Creek","2447","NSW","-30.82371","152.71113"
"Bakers Creek","2359","NSW","-30.32866","150.99935"
"Bakers Swamp","2820","NSW","-32.77983","148.93464"
"Balaclava","2575","NSW","-34.43994","150.48267"
"Balala","2358","NSW","-30.61843","151.28332"
"Balcolyn","2264","NSW","-33.09451","151.55149"
"Bald Blair","2365","NSW","-30.1723","151.81579"
"Bald Hills","2549","NSW","-36.91032","149.84467"
"Bald Nob","2370","NSW","-29.67343","151.99225"
"Bald Ridge","2795","NSW","-33.93829","149.42276"
"Baldersleigh","2365","NSW","-30.24226","151.4276"
"Baldry","2867","NSW","-32.88142","148.47025"
"Balfours Peak","2403","NSW","-29.4642","150.77674"
"Balgowlah","2093","NSW","-33.79453","151.26125"
"Balgowlah Heights","2093","NSW","-33.8077","151.26552"
"Balgownie","2519","NSW","-34.387","150.8713"
"Balickera","2324","NSW","-32.65333","151.80724"
"Balladoran","2822","NSW","-31.88145","148.61751"
"Ballalaba","2622","NSW","-35.61993","149.64177"
"Balldale","2646","NSW","-35.80368","146.52162"
"Ballengarra","2441","NSW","-31.31255","152.71125"
"Ballimore","2830","NSW","-32.1735","148.8862"
"Ballina","2478","NSW","-28.83481","153.55796"
"Ballyroe","2795","NSW","-34.06021","149.57216"
"Balmain","2041","NSW","-33.85833","151.18067"
"Balmain East","2041","NSW","-33.85546","151.19357"
"Balmoral","2283","NSW","-33.04626","151.58032"
"Balmoral","2571","NSW","-34.30184","150.51648"
"Balranald","2715","NSW","-34.32979","143.38926"
"Bamarang","2540","NSW","-34.90315","150.52082"
"Banda Banda","2446","NSW","-31.20121","152.45587"
"Bandon Grove","2420","NSW","-32.27578","151.68893"
"Bangadang","2729","NSW","-35.27338","147.98816"
"Bangalee","2541","NSW","-34.84197","150.54968"
"Bangalow","2479","NSW","-28.68063","153.52403"
"Bangheet","2404","NSW","-29.83603","150.42303"
"Bango","2582","NSW","-34.76023","148.95856"
"Bangor","2234","NSW","-34.01671","151.03226"
"Banksia","2216","NSW","-33.94651","151.14536"
"Banksmeadow","2019","NSW","-33.95607","151.21365"
"Bankstown","2200","NSW","-33.91991","151.03125"
"Bankstown Aerodrome","2200","NSW","-33.92329","150.99027"
"Bannaby","2580","NSW","-34.40831","149.99454"
"Bannister","2580","NSW","-34.61237","149.49862"
"Banoon","2347","NSW","-30.52055","150.41836"
"Banora Point","2486","NSW","-28.22439","153.53469"
"Banyabba","2460","NSW","-29.39278","152.93899"
"Bar Beach","2300","NSW","-32.93909","151.76877"
"Bar Point","2083","NSW","-33.49817","151.17595"
"Bara","2850","NSW","-32.57085","149.83131"
"Baradine","2396","NSW","-30.96414","149.18729"
"Barangaroo","2000","NSW","-33.86055","151.20159"
"Barcoongere","2460","NSW","-29.8893","153.2608"
"Barden Ridge","2234","NSW","-34.03516","151.00413"
"Bardia","2565","NSW","-33.9773","150.86232"
"Bardwell Park","2207","NSW","-33.93591","151.12536"
"Bardwell Valley","2207","NSW","-33.93774","151.13064"
"Barellan","2665","NSW","-34.19626","146.60744"
"Bargo","2574","NSW","-34.28703","150.58693"
