"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize","yearSold","monthSold"
985000,2023-03-28,"12 Harpullia Rise BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",620,"2023","03"
1500000,2023-05-14,"23 Elanora Drive BURLEIGH HEADS","burleigh heads","QLD",3,1,1,"House",0,"2023","05"
1312000,2023-05-10,"1/17 Stephens Street BURLEIGH HEADS","burleigh heads","QLD",3,2,1,"Villa",1,"2023","05"
2100000,2023-05-19,"2/1 Guyra Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",0,"2023","05"
899000,2023-05-14,"3 Sharscay Close BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",690,"2023","05"
1600000,2023-05-10,"7 Diana Ave BURLEIGH HEADS","burleigh heads","QLD",3,1,1,"House",506,"2023","05"
1785000,2023-01-12,"17 Hill Avenue BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",405,"2023","01"
910000,2023-02-28,"13 Arbury Hill Close BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2023","02"
2080000,2023-01-17,"20 Deodar Drive BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",0,"2023","01"
1010000,2022-12-29,"36 Wonga Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2022","12"
1500000,2023-02-28,"53 Acanthus Avenue BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",675,"2023","02"
890000,2023-01-26,"7/184 West Burleigh Road BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",0,"2023","01"
1300000,2023-01-17,"2/18 Ferny Fairway BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"SemiDetached",0,"2023","01"
3e+06,2023-03-21,"6a Spence Street BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",418,"2023","03"
1200000,2023-02-23,"53 Bunyip Street BURLEIGH HEADS","burleigh heads","QLD",3,2,3,"House",655,"2023","02"
6100000,2023-03-12,"12 Hill Avenue BURLEIGH HEADS","burleigh heads","QLD",4,4,2,"House",405,"2023","03"
830000,2023-02-19,"9 Tillys Place BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",361,"2023","02"
1580000,2023-03-13,"40 Symonds Road BURLEIGH HEADS","burleigh heads","QLD",3,1,2,"House",668,"2023","03"
1100000,2023-02-24,"192 West Burleigh Road BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",607,"2023","02"
1050000,2023-03-06,"8 Robusta Rise BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",716,"2023","03"
1500000,2023-03-01,"36 Djerral Avenue BURLEIGH HEADS","burleigh heads","QLD",2,2,3,"House",0,"2023","03"
2250000,2023-03-01,"17 Ewart Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",0,"2023","03"
4300000,2023-03-21,"5 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",612,"2023","03"
4300000,2023-03-16,"5 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",612,"2023","03"
881000,2023-03-14,"7 Quoll Close BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",641,"2023","03"
1900000,2023-03-13,"4 Gabrielle Grove BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",716,"2023","03"
1395000,2022-11-21,"2/1900 Gold Coast Highway BURLEIGH HEADS","burleigh heads","QLD",3,3,2,"NewHouseLand",0,"2022","11"
1400000,2022-10-23,"112 West Burleigh Road BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",650,"2022","10"
1585300,2022-10-27,"2/50 Hill Avenue BURLEIGH HEADS","burleigh heads","QLD",3,2,1,"House",0,"2022","10"
2575000,2022-11-07,"3 Matilda Street BURLEIGH HEADS","burleigh heads","QLD",5,2,2,"House",630,"2022","11"
1940000,2022-11-14,"34 George Street East BURLEIGH HEADS","burleigh heads","QLD",4,2,3,"House",405,"2022","11"
9e+05,2022-10-23,"7 Sirec Way BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",636,"2022","10"
3e+06,2022-11-03,"22 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",333,"2022","11"
1750000,2022-10-26,"1/6 Banksia Broadway BURLEIGH HEADS","burleigh heads","QLD",3,2,4,"House",0,"2022","10"
3200830,2022-10-26,"12 Lemana Lane BURLEIGH HEADS","burleigh heads","QLD",4,3,6,"House",516,"2022","10"
3600000,2022-10-21,"23 Acanthus Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,4,"House",1024,"2022","10"
1070000,2022-11-10,"8 Quoll Close BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2022","11"
1705000,2022-12-03,"1/40 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"Duplex",0,"2022","12"
942000,2022-12-12,"13 Euodia Close BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",879,"2022","12"
2550000,2022-12-05,"9 Guyra Avenue BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",0,"2022","12"
2450000,2022-12-02,"8 Diana Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,4,"House",506,"2022","12"
2060000,2022-10-28,"192 Ocean Parade BURLEIGH HEADS","burleigh heads","QLD",3,2,4,"House",422,"2022","10"
1520000,2022-12-28,"13 Matthew Close BURLEIGH HEADS","burleigh heads","QLD",6,4,2,"House",760,"2022","12"
1350000,2022-11-01,"28 Sky Royal Tce BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",1161,"2022","11"
985000,2022-12-05,"8 Harpullia Rise BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",0,"2022","12"
2090000,2022-12-02,"3 Guyra Avenue BURLEIGH HEADS","burleigh heads","QLD",4,2,1,"House",632,"2022","12"
2100000,2022-10-13,"8 Rudd Street BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",405,"2022","10"
2800000,2022-09-06,"129 George Street BURLEIGH HEADS","burleigh heads","QLD",4,3,4,"House",0,"2022","09"
1265000,2022-09-14,"7 Kabool Road BURLEIGH HEADS","burleigh heads","QLD",3,2,3,"House",766,"2022","09"
1e+06,2022-09-15,"12 Bunyip Street BURLEIGH HEADS","burleigh heads","QLD",3,1,3,"House",647,"2022","09"
1370000,2022-09-28,"2/5 Cedar Court BURLEIGH HEADS","burleigh heads","QLD",4,2,1,"SemiDetached",0,"2022","09"
1720000,2022-09-11,"17 Vantage Point Drive BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",544,"2022","09"
2020000,2022-10-20,"20 Bullimah Avenue BURLEIGH HEADS","burleigh heads","QLD",6,2,3,"House",567,"2022","10"
1020000,2022-08-25,"21 Matilda Street BURLEIGH HEADS","burleigh heads","QLD",3,1,1,"House",665,"2022","08"
1807000,2022-10-06,"45 Ladds Ridge Road BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",1452,"2022","10"
965000,2022-10-03,"9 Matilda Street BURLEIGH HEADS","burleigh heads","QLD",3,1,2,"House",706,"2022","10"
910000,2022-08-29,"10 Cowell Drive BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2022","08"
959000,2022-08-30,"9 Tipu Rise BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2022","08"
9700000,2022-09-22,"10-12 Elanora Drive BURLEIGH HEADS","burleigh heads","QLD",5,6,4,"House",1286,"2022","09"
1950000,2022-09-26,"31 Matilda Street BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",647,"2022","09"
4800000,2022-09-15,"20 Mount Street BURLEIGH HEADS","burleigh heads","QLD",6,5,5,"SemiDetached",531,"2022","09"
1165000,2022-10-16,"5 Dulcie Drive BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",1195,"2022","10"
1150000,2022-10-06,"10 marlee Court BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",697,"2022","10"
1300000,2022-10-05,"18 Matthew Close BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",600,"2022","10"
1350000,2022-09-29,"1/9 West Street BURLEIGH HEADS","burleigh heads","QLD",3,1,1,"Duplex",95,"2022","09"
1350000,2022-09-29,"2/9 West Street BURLEIGH HEADS","burleigh heads","QLD",3,1,1,"Duplex",96,"2022","09"
2600000,2022-06-17,"4 Guyra Avenue BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",0,"2022","06"
1100000,2022-06-05,"1/6 Burrabee Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"Duplex",0,"2022","06"
4020000,2022-07-25,"36 Ewart Street BURLEIGH HEADS","burleigh heads","QLD",7,4,2,"House",407,"2022","07"
1820000,2022-07-25,"1/36 Ewart Street BURLEIGH HEADS","burleigh heads","QLD",3,2,1,"Duplex",0,"2022","07"
870000,2022-07-15,"8 Tiarnna Close BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",661,"2022","07"
2200000,2022-07-25,"2/36 Ewart Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"Duplex",407,"2022","07"
975000,2022-06-29,"22 Ardisia Court BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",632,"2022","06"
1320000,2022-08-14,"8 Timbertop Mead BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",564,"2022","08"
1402500,2022-06-30,"20 Djerral Avenue BURLEIGH HEADS","burleigh heads","QLD",3,1,3,"House",613,"2022","06"
1120000,2022-06-28,"1769 Gold Coast Highway BURLEIGH HEADS","burleigh heads","QLD",2,1,1,"House",415,"2022","06"
951000,2022-06-07,"24 Orchna Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",622,"2022","06"
1360000,2022-06-10,"2/14 Wairoo Street BURLEIGH HEADS","burleigh heads","QLD",3,3,3,"House",585,"2022","06"
3875000,2022-07-06,"27 Acanthus Avenue BURLEIGH HEADS","burleigh heads","QLD",5,3,5,"House",775,"2022","07"
1225000,2022-07-18,"2/22 View Street BURLEIGH HEADS","burleigh heads","QLD",2,2,2,"House",1022,"2022","07"
930000,2022-08-01,"2/37 Wonga Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",451,"2022","08"
2500000,2022-08-24,"76 Ocean Parade BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",457,"2022","08"
1090000,2022-07-18,"46 West Burleigh Road BURLEIGH HEADS","burleigh heads","QLD",3,1,4,"House",405,"2022","07"
2e+06,2022-08-16,"109 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",5,3,4,"House",1453,"2022","08"
1750000,2022-08-12,"9 Gabrielle Grove BURLEIGH HEADS","burleigh heads","QLD",4,2,3,"House",974,"2022","08"
992500,2022-08-12,"25 Sirec Way BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",613,"2022","08"
3350000,2022-03-27,"8 Brake Street BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",405,"2022","03"
1310000,2022-03-17,"85 Hill Avenue BURLEIGH HEADS","burleigh heads","QLD",3,3,2,"SemiDetached",416,"2022","03"
2068000,2022-03-22,"6A & 6B Christine Avenue BURLEIGH HEADS","burleigh heads","QLD",5,4,3,"House",539,"2022","03"
1015000,2022-04-11,"2/9 Tabilban Street BURLEIGH HEADS","burleigh heads","QLD",2,1,1,"Duplex",0,"2022","04"
1750000,2022-05-08,"11 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",854,"2022","05"
2250000,2022-06-05,"32 Tallebudgera Creek Road BURLEIGH HEADS","burleigh heads","QLD",5,2,8,"House",1330,"2022","06"
1600000,2022-05-26,"10 Mieke Court BURLEIGH HEADS","burleigh heads","QLD",5,3,5,"House",961,"2022","05"
2605000,2022-04-28,"70 Acanthus Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"Duplex",0,"2022","04"
1050000,2022-03-22,"3 Sirec Way BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",658,"2022","03"
1e+06,2022-04-03,"14 Sirec Way BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",0,"2022","04"
1220000,2022-04-19,"3 Chloe Court BURLEIGH HEADS","burleigh heads","QLD",5,2,2,"House",917,"2022","04"
722000,2022-04-06,"1/18 Tallebudgera Creek Road BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"Duplex",0,"2022","04"
2630000,2022-05-16,"25 Banksia Broadway BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",506,"2022","05"
1610000,2022-04-23,"6 Dulcie Drive BURLEIGH HEADS","burleigh heads","QLD",4,3,4,"House",1564,"2022","04"
7e+05,2022-05-01,"3 Sky Royal Terrace BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"Duplex",0,"2022","05"
1881000,2022-05-13,"1/19 Ferny Fairway BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"Duplex",0,"2022","05"
960000,2022-04-30,"5 Quoll Close BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",641,"2022","04"
1200000,2022-05-12,"2/4 Christine Ave BURLEIGH HEADS","burleigh heads","QLD",3,3,2,"Duplex",190,"2022","05"
2510000,2022-05-27,"4A Guyra Avenue BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",0,"2022","05"
1405000,2022-06-04,"2/3 Cedar Court BURLEIGH HEADS","burleigh heads","QLD",4,3,1,"House",0,"2022","06"
3100000,2021-12-16,"12 Lemana Lane BURLEIGH HEADS","burleigh heads","QLD",4,3,5,"House",516,"2021","12"
1545000,2022-01-18,"59 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",3,2,4,"House",991,"2022","01"
1710000,2022-01-09,"43 Elanora Drive BURLEIGH HEADS","burleigh heads","QLD",3,1,3,"House",516,"2022","01"
2625000,2021-12-29,"28 George Street East BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",526,"2021","12"
1450000,2022-01-18,"14 Reserve Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",417,"2022","01"
2650000,2022-02-03,"5B Vantage Point Drive BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",994,"2022","02"
995000,2022-01-24,"2/62 Hill Avenue BURLEIGH HEADS","burleigh heads","QLD",2,2,1,"Duplex",0,"2022","01"
1250000,2021-12-17,"24/28 Vantage Point Drive BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",559,"2021","12"
1770000,2022-02-03,"28 Sky Royal Terrace BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",1161,"2022","02"
1020000,2022-01-13,"Lot 9 Marlee Court BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",601,"2022","01"
1e+06,2022-01-27,"8 Glauca Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",816,"2022","01"
1290000,2022-02-14,"3 Starling Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",310,"2022","02"
1140000,2022-01-16,"2/2 Deodar Drive BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",0,"2022","01"
1735000,2022-01-26,"5 Pindari Avenue BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",405,"2022","01"
920000,2022-01-13,"8 Marlee Court BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",648,"2022","01"
4310000,2022-01-31,"7 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",6,3,2,"House",536,"2022","01"
1350000,2022-01-20,"3 Alex Keith Court BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",646,"2022","01"
2300000,2022-02-12,"8 Bullimah Avenue BURLEIGH HEADS","burleigh heads","QLD",2,1,1,"House",549,"2022","02"
1300000,2022-03-12,"4 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",3,3,2,"House",754,"2022","03"
3050000,2022-03-04,"4 Cotton Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",405,"2022","03"
805000,2021-10-04,"18 Matthew Close BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",600,"2021","10"
1425000,2021-09-27,"8 Maitland Street BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",607,"2021","09"
2585000,2021-10-04,"16 Cotton Street BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",405,"2021","10"
2e+06,2021-11-10,"96 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",0,"2021","11"
1270000,2021-10-23,"8/6 Burrabee Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",166,"2021","10"
920000,2021-11-03,"9 Glauca Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",699,"2021","11"
3750000,2021-10-21,"1/4 Fourth Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"Duplex",0,"2021","10"
4305000,2021-10-13,"13 Deodar Drive BURLEIGH HEADS","burleigh heads","QLD",4,3,4,"House",539,"2021","10"
1300000,2021-12-15,"56 Wonga Street BURLEIGH HEADS","burleigh heads","QLD",3,2,4,"House",640,"2021","12"
925000,2021-10-31,"7B/3 Second Avenue BURLEIGH HEADS","burleigh heads","QLD",2,2,1,"House",0,"2021","10"
2350000,2021-11-13,"21 Hayle Street BURLEIGH HEADS","burleigh heads","QLD",4,4,2,"House",405,"2021","11"
1635000,2021-11-13,"1/1A Cedar Court BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",0,"2021","11"
2600000,2021-12-12,"24 Ferny Fairway BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",607,"2021","12"
742000,2021-11-21,"250/19 Burleigh Street BURLEIGH HEADS","burleigh heads","QLD",2,2,2,"House",0,"2021","11"
3350000,2021-10-26,"14 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",4,5,2,"House",364,"2021","10"
860000,2021-10-07,"24 Glauca Street BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",806,"2021","10"
1700000,2021-12-13,"2/1 Cedar Court BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",0,"2021","12"
1290000,2021-10-06,"20 Timbertop Mead BURLEIGH HEADS","burleigh heads","QLD",4,2,NA,"House",0,"2021","10"
1630000,2021-12-04,"2/1A Cedar Court BURLEIGH HEADS","burleigh heads","QLD",NA,NA,NA,"SemiDetached",0,"2021","12"
2350000,2021-10-04,"24 Bullimah Avenue BURLEIGH HEADS","burleigh heads","QLD",6,3,3,"House",567,"2021","10"
1700000,2021-09-20,"40E Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",4,3,3,"House",861,"2021","09"
1171000,2021-09-12,"1/22 Mount Street BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"Duplex",0,"2021","09"
1360000,2021-09-14,"6 Chloe Street BURLEIGH HEADS","burleigh heads","QLD",4,3,3,"House",1136,"2021","09"
2275000,2021-09-02,"22 Djerral Avenue BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",670,"2021","09"
950000,2021-09-02,"57 Sky Royal Terrace BURLEIGH HEADS","burleigh heads","QLD",4,2,2,"House",1090,"2021","09"
1800000,2021-08-20,"28 Diana Avenue BURLEIGH HEADS","burleigh heads","QLD",3,1,2,"House",574,"2021","08"
885000,2021-09-05,"83 Harrier Drive BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",400,"2021","09"
965000,2021-08-24,"24 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",3,1,2,"House",1510,"2021","08"
2e+06,2021-09-06,"14 Rudd Street BURLEIGH HEADS","burleigh heads","QLD",4,2,1,"House",405,"2021","09"
1755000,2021-09-05,"17 East Street BURLEIGH HEADS","burleigh heads","QLD",5,3,3,"House",562,"2021","09"
2e+06,2021-09-10,"61 Skyline Terrace BURLEIGH HEADS","burleigh heads","QLD",5,3,2,"House",1027,"2021","09"
3300000,2021-09-13,"119 George Street West BURLEIGH HEADS","burleigh heads","QLD",5,3,5,"House",516,"2021","09"
780000,2021-09-15,"7 Tillys Place BURLEIGH HEADS","burleigh heads","QLD",3,2,2,"House",362,"2021","09"
2370000,2021-09-25,"8 Bullimah Avenue BURLEIGH HEADS","burleigh heads","QLD",2,1,1,"House",549,"2021","09"
1400000,2021-09-24,"161 Ocean Parade BURLEIGH HEADS","burleigh heads","QLD",4,3,2,"House",0,"2021","09"
940000,2021-09-15,"9 Marlee Court BURLEIGH HEADS","burleigh heads","QLD",4,2,4,"House",677,"2021","09"
880000,2021-09-26,"8/32 East Street BURLEIGH HEADS","burleigh heads","QLD",2,2,1,"House",157,"2021","09"
1560000,2021-09-21,"2/18 Burleigh Street BURLEIGH HEADS","burleigh heads","QLD",3,2,4,"Duplex",0,"2021","09"
1700000,2021-09-13,"37 Tawarri Crescent BURLEIGH HEADS","burleigh heads","QLD",3,2,NA,"House",0,"2021","09"
1400000,2021-08-18,"2/10 Ferny Fairway BURLEIGH HEADS","burleigh heads","QLD",3,2,1,"SemiDetached",195,"2021","08"
