"name","lat","lng"
"western suburbs","-37.776524584027925","144.80834114623087"
"hoppers crossing","-37.87743130095286","144.72160875928796"
"northern suburbs","-37.73465749052539","144.98310027543815"
"eastern suburbs","-37.82432914541228","145.0727760013664"
"south sydney","-34.04393430406893","151.01069446334785"



