"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize"
"1200000","2023-05-14","19 Page Parade BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","House","506"
"2250000","2023-05-01","40 Banksia Broadway BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","615"
"2190000","2023-04-13","31 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","5","House","802"
"985000","2023-03-28","12 Harpullia Rise BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","620"
"1500000","2023-05-14","23 Elanora Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","House","0"
"1312000","2023-05-10","1/17 Stephens Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","Villa","1"
"2100000","2023-05-19","2/1 Guyra Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","0"
"899000","2023-05-14","3 Sharscay Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","690"
"1600000","2023-05-10","7 Diana Ave BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","House","506"
"1785000","2023-01-12","17 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","405"
"910000","2023-02-28","13 Arbury Hill Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"2080000","2023-01-17","20 Deodar Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","0"
"1010000","2022-12-29","36 Wonga Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"1500000","2023-02-28","53 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","675"
"890000","2023-01-26","7/184 West Burleigh Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"1300000","2023-01-17","2/18 Ferny Fairway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","SemiDetached","0"
"3000000","2023-03-21","6a Spence Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","418"
"1200000","2023-02-23","53 Bunyip Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","3","House","655"
"6100000","2023-03-12","12 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","4","2","House","405"
"830000","2023-02-19","9 Tillys Place BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","361"
"1580000","2023-03-13","40 Symonds Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","2","House","668"
"1100000","2023-02-24","192 West Burleigh Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","607"
"1050000","2023-03-06","8 Robusta Rise BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","716"
"1500000","2023-03-01","36 Djerral Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","3","House","0"
"2250000","2023-03-01","17 Ewart Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"4300000","2023-03-21","5 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","612"
"4300000","2023-03-16","5 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","612"
"881000","2023-03-14","7 Quoll Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","641"
"1900000","2023-03-13","4 Gabrielle Grove BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","716"
"1395000","2022-11-21","2/1900 Gold Coast Highway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","3","2","NewHouseLand","0"
"1400000","2022-10-23","112 West Burleigh Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","650"
"1585300","2022-10-27","2/50 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","House","0"
"2575000","2022-11-07","3 Matilda Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","2","House","630"
"1940000","2022-11-14","34 George Street East BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","3","House","405"
"900000","2022-10-23","7 Sirec Way BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","636"
"3000000","2022-11-03","22 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","333"
"1750000","2022-10-26","1/6 Banksia Broadway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","House","0"
"3200830","2022-10-26","12 Lemana Lane BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","6","House","516"
"3600000","2022-10-21","23 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","4","House","1024"
"1070000","2022-11-10","8 Quoll Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"1705000","2022-12-03","1/40 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","Duplex","0"
"942000","2022-12-12","13 Euodia Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","879"
"2550000","2022-12-05","9 Guyra Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"2450000","2022-12-02","8 Diana Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","4","House","506"
"2060000","2022-10-28","192 Ocean Parade BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","House","422"
"1520000","2022-12-28","13 Matthew Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","4","2","House","760"
"1350000","2022-11-01","28 Sky Royal Tce BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","1161"
"985000","2022-12-05","8 Harpullia Rise BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","0"
"2090000","2022-12-02","3 Guyra Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","1","House","632"
"2100000","2022-10-13","8 Rudd Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","405"
"2800000","2022-09-06","129 George Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","4","House","0"
"1265000","2022-09-14","7 Kabool Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","3","House","766"
"1000000","2022-09-15","12 Bunyip Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","3","House","647"
"1370000","2022-09-28","2/5 Cedar Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","1","SemiDetached","0"
"1720000","2022-09-11","17 Vantage Point Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","544"
"2020000","2022-10-20","20 Bullimah Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","2","3","House","567"
"1020000","2022-08-25","21 Matilda Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","House","665"
"1807000","2022-10-06","45 Ladds Ridge Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","1452"
"965000","2022-10-03","9 Matilda Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","2","House","706"
"910000","2022-08-29","10 Cowell Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"959000","2022-08-30","9 Tipu Rise BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"9700000","2022-09-22","10-12 Elanora Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","6","4","House","1286"
"1950000","2022-09-26","31 Matilda Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","647"
"4800000","2022-09-15","20 Mount Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","5","5","SemiDetached","531"
"1165000","2022-10-16","5 Dulcie Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","1195"
"1150000","2022-10-06","10 marlee Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","697"
"1300000","2022-10-05","18 Matthew Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","600"
"1350000","2022-09-29","1/9 West Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","Duplex","95"
"1350000","2022-09-29","2/9 West Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","1","Duplex","96"
"2600000","2022-06-17","4 Guyra Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"1100000","2022-06-05","1/6 Burrabee Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"4020000","2022-07-25","36 Ewart Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","7","4","2","House","407"
"1820000","2022-07-25","1/36 Ewart Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","Duplex","0"
"870000","2022-07-15","8 Tiarnna Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","661"
"2200000","2022-07-25","2/36 Ewart Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","Duplex","407"
"975000","2022-06-29","22 Ardisia Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","632"
"1320000","2022-08-14","8 Timbertop Mead BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","564"
"1402500","2022-06-30","20 Djerral Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","3","House","613"
"1120000","2022-06-28","1769 Gold Coast Highway BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","1","1","House","415"
"951000","2022-06-07","24 Orchna Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","622"
"1360000","2022-06-10","2/14 Wairoo Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","3","3","House","585"
"3875000","2022-07-06","27 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","5","House","775"
"1225000","2022-07-18","2/22 View Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","2","House","1022"
"930000","2022-08-01","2/37 Wonga Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","451"
"2500000","2022-08-24","76 Ocean Parade BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","457"
"1090000","2022-07-18","46 West Burleigh Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","4","House","405"
"2000000","2022-08-16","109 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","4","House","1453"
"1750000","2022-08-12","9 Gabrielle Grove BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","3","House","974"
"992500","2022-08-12","25 Sirec Way BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","613"
"3350000","2022-03-27","8 Brake Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","405"
"1310000","2022-03-17","85 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","3","2","SemiDetached","416"
"2068000","2022-03-22","6A & 6B Christine Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","4","3","House","539"
"1015000","2022-04-11","2/9 Tabilban Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","1","1","Duplex","0"
"1750000","2022-05-08","11 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","854"
"2250000","2022-06-05","32 Tallebudgera Creek Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","8","House","1330"
"1600000","2022-05-26","10 Mieke Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","5","House","961"
"2605000","2022-04-28","70 Acanthus Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","Duplex","0"
"1050000","2022-03-22","3 Sirec Way BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","658"
"1000000","2022-04-03","14 Sirec Way BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","0"
"1220000","2022-04-19","3 Chloe Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","2","2","House","917"
"722000","2022-04-06","1/18 Tallebudgera Creek Road BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"2630000","2022-05-16","25 Banksia Broadway BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","506"
"1610000","2022-04-23","6 Dulcie Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","4","House","1564"
"700000","2022-05-01","3 Sky Royal Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"1881000","2022-05-13","1/19 Ferny Fairway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"960000","2022-04-30","5 Quoll Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","641"
"1200000","2022-05-12","2/4 Christine Ave BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","3","2","Duplex","190"
"2510000","2022-05-27","4A Guyra Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","0"
"1405000","2022-06-04","2/3 Cedar Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","1","House","0"
